Date,Open,High,Low,Close,Adj Close,Volume,Increase/Decrease,,Buy_Sell_on_Open,,Buy_Sell,Return
10/7/2016,13.4,13.421333,13.053333,13.107333,13.107333,52395000,0.021841,0.028192,0,1,1,-0.021841
10/10/2016,13.423333,13.609333,13.310667,13.396667,13.396667,49744500,0.001987,0.022438,0,1,0,0.022074
10/11/2016,13.456667,13.48,13.220667,13.34,13.34,34926000,0.00867,0.019616,0,0,1,-0.00423
10/12/2016,13.396667,13.592,13.361333,13.434,13.434,29560500,-0.002787,0.017264,1,0,0,0.007046
10/13/2016,13.366667,13.393333,13.136667,13.349333,13.349333,37419000,0.001297,0.019538,1,1,0,-0.006302
10/14/2016,13.377333,13.428667,13.086667,13.100667,13.100667,64048500,0.020682,0.026133,1,0,0,-0.018628
10/17/2016,13.136667,13.226,12.8,12.930667,12.930667,68311500,0.015681,0.033281,1,0,1,-0.012976
10/18/2016,13.066,13.298,12.884,13.273333,13.273333,85207500,-0.015868,0.032133,1,1,1,0.0265
10/19/2016,13.316,13.777333,13.204,13.570667,13.570667,104868000,-0.019125,0.043421,0,1,0,0.022401
10/20/2016,13.474667,13.533333,13.136667,13.273333,13.273333,76093500,0.014942,0.030195,0,0,1,-0.02191
10/21/2016,13.24,13.438,13.160667,13.339333,13.339333,44151000,-0.007502,0.021073,0,1,1,0.004972
10/24/2016,13.4,13.596667,13.35,13.517333,13.517333,41274000,-0.008756,0.018477,0,1,0,0.013344
10/25/2016,13.526667,13.646,13.413333,13.489333,13.489333,36675000,0.00276,0.017346,1,0,0,-0.002071
10/26/2016,13.4,13.546,13.34,13.482667,13.482667,84492000,-0.006169,0.015442,1,1,1,-0.000494
10/27/2016,14.089333,14.246667,13.443333,13.600667,13.600667,196405500,0.034683,0.059757,0,0,0,0.008752
10/28/2016,13.6,13.688,13.322,13.331333,13.331333,64201500,0.019755,0.027473,1,0,0,-0.019803
10/31/2016,13.499333,13.499333,13.054,13.182,13.182,70384500,0.023507,0.034115,1,0,0,-0.011202
11/1/2016,13.202667,13.233333,12.540667,12.719333,12.719333,105900000,0.036609,0.055234,0,0,0,-0.035098
11/2/2016,12.67,12.846667,12.500667,12.534667,12.534667,63801000,0.010681,0.027679,0,0,0,-0.014519
11/3/2016,12.6,12.764667,12.469333,12.494667,12.494667,39795000,0.00836,0.023685,1,0,1,-0.003191
11/4/2016,12.6,12.897333,12.397333,12.704,12.704,77190000,-0.008254,0.040331,0,1,1,0.016754
11/7/2016,12.906,12.952667,12.67,12.880667,12.880667,58051500,0.001963,0.02231,0,1,1,0.013906
11/8/2016,12.919333,13.166,12.750667,12.996,12.996,49014000,-0.005934,0.032573,1,0,0,0.008954
11/9/2016,12.458667,12.8,12.263333,12.670667,12.670667,122596500,-0.017016,0.043762,0,1,0,-0.025033
11/10/2016,12.736667,12.774,12.028,12.356667,12.356667,101254500,0.029835,0.062022,0,0,1,-0.024782
11/11/2016,12.282667,12.592,12.2,12.570667,12.570667,59827500,-0.023448,0.032131,1,1,0,0.017319
11/14/2016,12.533333,12.55,11.879333,12.096667,12.096667,98283000,0.03484,0.056457,0,0,1,-0.037707
11/15/2016,12.185333,12.428667,12.136667,12.251333,12.251333,58530000,-0.005416,0.024059,0,0,1,0.012786
11/16/2016,12.176667,12.315333,12.080667,12.262,12.262,51516000,-0.007008,0.019425,1,1,1,0.000871
11/17/2016,12.232667,12.632667,12.140667,12.577333,12.577333,73306500,-0.028176,0.040525,1,1,0,0.025716
11/18/2016,12.71,12.866667,12.333333,12.334667,12.334667,78154500,0.029531,0.043243,0,0,0,-0.019294
11/21/2016,12.336,12.592667,12.294,12.301333,12.301333,65415000,0.00281,0.024294,1,1,1,-0.002702
11/22/2016,12.389333,12.764667,12.247333,12.744667,12.744667,84051000,-0.028681,0.042241,0,1,1,0.036039
11/23/2016,12.707333,13.042667,12.6,12.876,12.876,73378500,-0.013273,0.035132,0,1,1,0.010305
11/25/2016,12.909333,13.149333,12.909333,13.11,13.11,35491500,-0.015544,0.018591,1,1,0,0.018173
11/28/2016,13.032,13.29,12.97,13.074667,13.074667,67938000,-0.003274,0.024672,0,1,0,-0.002695
11/29/2016,13.037333,13.115333,12.633333,12.638,12.638,66589500,0.03063,0.038153,0,0,0,-0.033398
11/30/2016,12.733333,12.792667,12.5,12.626667,12.626667,53206500,0.008377,0.023413,1,0,0,-0.000897
12/1/2016,12.55,12.568667,12.066667,12.125333,12.125333,76896000,0.033838,0.041602,0,0,0,-0.039704
12/2/2016,12.192,12.325333,12,12.098,12.098,60634500,0.00771,0.027111,1,0,1,-0.002254
12/5/2016,12.167333,12.592667,12.167333,12.453333,12.453333,61083000,-0.023506,0.034957,0,1,0,0.029371
12/6/2016,12.368,12.438667,12.178667,12.39,12.39,50874000,-0.001779,0.021349,1,1,1,-0.005086
12/7/2016,12.41,12.893333,12.333333,12.876667,12.876667,81928500,-0.037604,0.045405,0,1,0,0.039279
12/8/2016,12.803333,12.833333,12.636,12.819333,12.819333,47911500,-0.00125,0.015617,0,0,0,-0.004453
12/9/2016,12.724667,12.922667,12.720667,12.812,12.812,40837500,-0.006863,0.01588,0,1,1,-0.000572
12/12/2016,12.853333,12.961333,12.745333,12.828667,12.828667,36583500,0.001919,0.016947,1,1,1,0.001301
12/13/2016,12.878667,13.418667,12.866667,13.21,13.21,102358500,-0.025727,0.042902,0,1,1,0.029725
12/14/2016,13.249333,13.533333,13.117333,13.246,13.246,62263500,0.000252,0.031714,0,0,0,0.002725
12/15/2016,13.227333,13.382667,13.159333,13.172,13.172,48294000,0.004183,0.016971,1,0,1,-0.005587
12/16/2016,13.205333,13.506,13.173333,13.499333,13.499333,56953500,-0.022264,0.025253,0,1,1,0.024851
12/19/2016,13.499333,13.63,13.322667,13.515333,13.515333,52321500,-0.001185,0.023068,1,1,1,0.001185
12/20/2016,13.536667,13.933333,13.5,13.919333,13.919333,70336500,-0.028269,0.032099,1,1,0,0.029892
12/21/2016,13.896667,14.148667,13.827333,13.846667,13.846667,78114000,0.003598,0.023239,0,0,1,-0.005221
12/22/2016,13.881333,13.999333,13.766667,13.896667,13.896667,46666500,-0.001105,0.016901,1,0,1,0.003611
12/23/2016,13.866667,14.23,13.847333,14.222667,14.222667,70057500,-0.025673,0.027635,1,1,1,0.023459
